test_id,timestamp,endpoint,method,payload_size,status_code,latency_ms,error,parallel_group,test_scenario,seed
test_0_chaos_comprehensive,2025-11-06T17:06:52.093937+00:00,/v1/converse/collaborate,POST,183,200,32.31096267700195,,0,chaos_comprehensive,506501713
test_1_chaos_comprehensive,2025-11-06T17:06:52.086422+00:00,/v1/converse/collaborate,POST,154,200,21.947145462036133,,0,chaos_comprehensive,930682583
test_2_chaos_comprehensive,2025-11-06T17:06:52.086353+00:00,/v1/converse/agents,GET,2,200,21.658658981323242,,0,chaos_comprehensive,1400160883
test_3_chaos_comprehensive,2025-11-06T17:06:52.093385+00:00,/v1/converse/status,GET,2,200,28.558015823364258,,0,chaos_comprehensive,572663790
test_4_chaos_comprehensive,2025-11-06T17:06:52.080330+00:00,/v1/converse/agents,GET,2,200,15.390634536743164,,0,chaos_comprehensive,1509014353
test_5_chaos_comprehensive,2025-11-06T17:06:52.086723+00:00,/v1/converse/collaborate,POST,149,200,21.69632911682129,,0,chaos_comprehensive,1484564034
test_6_chaos_comprehensive,2025-11-06T17:06:52.086281+00:00,/v1/converse/health,GET,2,200,21.12293243408203,,0,chaos_comprehensive,1034391868
test_7_chaos_comprehensive,2025-11-06T17:06:52.093009+00:00,/v1/converse/status,GET,2,200,27.743816375732422,,0,chaos_comprehensive,1975705042
test_8_chaos_comprehensive,2025-11-06T17:06:52.086638+00:00,/v1/converse/health,GET,2,200,21.29983901977539,,0,chaos_comprehensive,1689284237
test_9_chaos_comprehensive,2025-11-06T17:06:52.093635+00:00,/v1/converse/run,POST,562,200,28.20611000061035,,0,chaos_comprehensive,1197551846
test_10_chaos_comprehensive,2025-11-06T17:06:52.086681+00:00,/v1/converse/health,GET,2,200,21.100997924804688,,0,chaos_comprehensive,16224850
test_11_chaos_comprehensive,2025-11-06T17:06:52.093598+00:00,/v1/converse/health,GET,2,200,27.94194221496582,,0,chaos_comprehensive,1868030587
test_12_chaos_comprehensive,2025-11-06T17:06:52.086521+00:00,/v1/converse/collaborate,POST,120,200,20.781517028808594,,0,chaos_comprehensive,1608427366
test_13_chaos_comprehensive,2025-11-06T17:06:52.093560+00:00,/v1/converse/collaborate,POST,162,200,27.356624603271484,,0,chaos_comprehensive,1578818706
test_14_chaos_comprehensive,2025-11-06T17:06:52.086475+00:00,/v1/converse/health,GET,2,200,20.137310028076172,,0,chaos_comprehensive,1291035417
test_15_chaos_comprehensive,2025-11-06T17:06:52.093440+00:00,/v1/converse/run,POST,705,200,24.001359939575195,,0,chaos_comprehensive,2116574869
test_16_chaos_comprehensive,2025-11-06T17:06:52.093520+00:00,/v1/converse/collaborate,POST,163,200,23.926973342895508,,0,chaos_comprehensive,1706920064
test_17_chaos_comprehensive,2025-11-06T17:06:52.093480+00:00,/v1/converse/status,GET,2,200,23.754358291625977,,0,chaos_comprehensive,784840739
test_18_chaos_comprehensive,2025-11-06T17:06:52.093340+00:00,/v1/converse/status,GET,2,200,23.53525161743164,,0,chaos_comprehensive,1482065642
test_19_chaos_comprehensive,2025-11-06T17:06:52.093284+00:00,/v1/converse/collaborate,POST,156,200,23.392438888549805,,0,chaos_comprehensive,145732785
test_20_chaos_comprehensive,2025-11-06T17:06:52.096284+00:00,/v1/converse/agents,GET,2,200,2.1970272064208984,,1,chaos_comprehensive,780033920
test_21_chaos_comprehensive,2025-11-06T17:06:52.097457+00:00,/v1/converse/health,GET,2,200,3.2129287719726562,,1,chaos_comprehensive,252185300
test_22_chaos_comprehensive,2025-11-06T17:06:52.097384+00:00,/v1/converse/agents,GET,2,200,3.0329227447509766,,1,chaos_comprehensive,113628724
test_23_chaos_comprehensive,2025-11-06T17:06:52.097503+00:00,/v1/converse/health,GET,2,200,3.0558109283447266,,1,chaos_comprehensive,518410114
test_24_chaos_comprehensive,2025-11-06T17:06:52.097544+00:00,/v1/converse/agents,GET,2,200,3.015279769897461,,1,chaos_comprehensive,1528521478
test_25_chaos_comprehensive,2025-11-06T17:06:52.097629+00:00,/v1/converse/run,POST,578,200,3.0088424682617188,,1,chaos_comprehensive,2118568791
test_26_chaos_comprehensive,2025-11-06T17:06:52.104855+00:00,/v1/converse/collaborate,POST,155,200,10.09988784790039,,1,chaos_comprehensive,920968162
test_27_chaos_comprehensive,2025-11-06T17:06:52.104904+00:00,/v1/converse/run,POST,543,200,10.026693344116211,,1,chaos_comprehensive,230915809
test_28_chaos_comprehensive,2025-11-06T17:06:52.105027+00:00,/v1/converse/run,POST,330,200,10.02359390258789,,1,chaos_comprehensive,1483136522
